City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Tuktoyaktuk,CA,69.45,-133.04,18.0,68,75,2.1,broken clouds
132,Port Lincoln,AU,-34.73,135.87,11.65,65,47,5.0,scattered clouds
133,Upington,ZA,-28.45,21.26,8.0,33,0,2.6,clear sky
134,Tura,IN,25.52,90.22,23.34,97,96,2.01,light rain
135,Kruisfontein,ZA,-34.0,24.73,9.6,85,0,2.37,clear sky
136,Punta Alta,AR,-38.88,-62.07,9.01,56,58,6.53,broken clouds
137,Vardo,NO,70.37,31.11,10.0,93,75,3.6,broken clouds
138,Saskylakh,RU,71.92,114.08,14.8,63,0,1.17,clear sky
139,Wichita Falls,US,33.91,-98.49,37.0,37,1,4.1,clear sky
140,Seguela,CI,7.96,-6.67,21.74,96,14,1.75,light rain
141,Erenhot,CN,43.65,111.98,23.05,61,1,5.28,clear sky
142,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,23.39,81,7,5.42,light rain
143,Mersing,MY,2.43,103.84,24.0,94,100,5.7,light rain
144,Lubumbashi,CD,-11.66,27.48,12.24,69,0,1.87,clear sky
145,Salalah,OM,17.02,54.09,28.0,94,40,3.1,scattered clouds
146,Castro,BR,-24.79,-50.01,8.72,90,56,4.36,broken clouds
147,Taoudenni,ML,22.68,-3.98,33.3,35,96,6.47,overcast clouds
148,Usinsk,RU,65.99,57.53,8.89,86,0,2.82,clear sky
149,Ornskoldsvik,SE,63.29,18.72,14.0,87,33,2.6,scattered clouds
150,Bendigo,AU,-36.77,144.28,5.0,91,62,0.7,broken clouds
151,Sao Jose,BR,-28.23,-49.17,9.32,90,53,0.66,broken clouds
152,Kudat,MY,6.88,116.85,25.0,88,40,2.6,scattered clouds
153,Saint George,US,37.1,-113.58,42.78,7,1,6.2,clear sky
154,Senador Guiomard,BR,-10.15,-67.74,28.0,54,19,1.5,few clouds
155,Palmer,US,42.16,-72.33,29.0,51,75,3.1,broken clouds
156,Luganville,VU,-15.53,167.17,25.0,94,75,2.96,broken clouds
157,Iqaluit,CA,63.75,-68.51,12.0,71,90,2.1,light rain
158,Tocopilla,CL,-22.09,-70.2,16.04,64,34,3.48,scattered clouds
159,Vila Franca Do Campo,PT,37.72,-25.43,21.0,83,20,3.1,few clouds
160,Itoman,JP,26.12,127.67,30.0,79,20,5.1,few clouds
161,Port Macquarie,AU,-31.43,152.92,12.78,85,28,0.89,scattered clouds
162,East London,ZA,-33.02,27.91,15.42,76,63,2.58,broken clouds
163,Severo-Kurilsk,RU,50.68,156.12,13.34,90,98,4.13,overcast clouds
164,Ocos,GT,14.51,-92.19,32.0,79,75,3.6,broken clouds
165,Honiara,SB,-9.43,159.95,30.0,70,40,1.17,scattered clouds
166,Tiksi,RU,71.69,128.87,5.57,90,94,2.16,overcast clouds
167,Esperance,AU,-33.87,121.9,9.0,100,40,3.1,scattered clouds
168,Zhigansk,RU,66.77,123.37,12.09,68,0,6.42,clear sky
169,Bethel,US,41.37,-73.41,26.0,69,20,3.37,few clouds
170,Niquero,CU,20.04,-77.58,30.06,66,1,10.39,clear sky
171,Benjamin Constant,BR,-4.38,-70.03,31.0,62,52,3.1,broken clouds
172,Mahebourg,MU,-20.41,57.7,22.0,83,75,2.1,shower rain
173,Adrar,MR,20.5,-10.07,33.9,33,29,3.09,scattered clouds
174,Poum,NC,-20.23,164.02,24.06,85,10,3.44,light rain
175,Kieta,PG,-6.22,155.63,29.19,66,95,0.33,overcast clouds
176,Codrington,AU,-38.27,141.97,7.13,86,74,4.25,broken clouds
177,Margate,GB,51.38,1.39,20.0,73,3,1.34,clear sky
178,Salinopolis,BR,-0.61,-47.36,26.82,80,94,2.92,overcast clouds
179,Deputatskiy,RU,69.3,139.9,9.36,65,6,1.55,clear sky
180,Goure,NE,13.98,10.27,28.29,64,52,7.58,broken clouds
181,Luderitz,NA,-26.65,15.16,26.0,16,0,6.2,clear sky
182,Bengkulu,ID,-3.8,102.27,23.87,91,85,3.76,overcast clouds
183,Rockport,US,28.02,-97.05,32.0,62,20,6.2,few clouds
184,Tasiilaq,GL,65.61,-37.64,9.0,61,95,1.0,overcast clouds
185,Razdolnoye,RU,43.55,131.92,22.0,88,90,2.0,overcast clouds
186,Esna,EG,25.29,32.55,36.47,16,0,6.56,clear sky
187,Noumea,NC,-22.28,166.46,24.44,88,90,0.5,light rain
188,Ambunti,PG,-4.24,142.84,26.38,90,25,0.47,light rain
189,Najran,SA,17.49,44.13,28.0,54,40,6.2,scattered clouds
190,Berlevag,NO,70.86,29.09,11.0,87,75,3.1,broken clouds
191,Hasaki,JP,35.73,140.83,22.78,94,75,1.5,light intensity shower rain
192,Fukue,JP,32.69,128.84,27.5,82,90,1.69,overcast clouds
193,Waingapu,ID,-9.66,120.26,21.76,75,0,3.3,clear sky
194,Nagua,DO,19.38,-69.85,26.0,94,90,10.3,light rain
195,Bauchi,NG,10.5,10.0,21.56,92,47,1.66,light rain
196,Nishihara,JP,26.18,127.76,30.0,83,40,5.1,scattered clouds
197,Sarankhola,BD,22.31,89.79,26.87,89,99,1.15,light rain
198,Ust-Kulom,RU,61.69,53.69,15.57,97,100,2.59,light rain
199,Nyurba,RU,63.28,118.33,14.2,71,0,2.8,clear sky
200,Wellsford,NZ,-36.28,174.52,14.44,84,91,1.34,overcast clouds
201,Portland,US,45.52,-122.68,35.56,31,1,3.6,clear sky
202,Maniitsoq,GL,65.42,-52.9,8.09,83,0,0.94,clear sky
203,Shache,CN,38.42,77.24,21.15,30,0,1.86,clear sky
204,Klaksvik,FO,62.23,-6.59,10.0,93,100,7.2,overcast clouds
205,Sisimiut,GL,66.94,-53.67,8.87,71,11,2.28,few clouds
206,Mehran,IR,33.12,46.16,37.65,10,0,4.92,clear sky
207,Sudbury,CA,46.49,-80.99,24.0,50,75,4.1,broken clouds
208,Sobolevo,RU,54.43,31.9,10.82,90,16,3.42,few clouds
209,Leningradskiy,RU,69.38,178.42,5.71,79,100,7.17,overcast clouds
210,Martorell,ES,41.47,1.93,27.78,69,22,3.1,few clouds
211,Talnakh,RU,69.49,88.4,16.0,67,84,6.0,broken clouds
212,Naze,JP,28.37,129.48,29.0,83,40,3.6,scattered clouds
213,Shimoda,JP,34.67,138.95,21.67,91,5,1.96,clear sky
214,Coihaique,CL,-45.58,-72.07,2.0,69,40,1.5,scattered clouds
215,Morehead,US,37.27,-87.18,27.78,88,75,4.73,broken clouds
216,Port Hardy,CA,50.7,-127.42,22.0,56,5,2.6,clear sky
217,Arvika,SE,59.66,12.59,16.67,82,34,2.6,scattered clouds
