City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Marsh Harbour,BS,29.04,broken clouds,26.54,-77.06,Abaco Beach Resort
263,Fairbanks,US,25.0,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
264,Lafiagi,NG,23.79,overcast clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
265,Cedar City,US,36.0,clear sky,37.68,-113.06,Hampton Inn Cedar City
266,Yarada,IN,27.0,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
267,Nadadores,MX,30.0,few clouds,27.05,-101.6,La Cabañita - Eventos
268,Garissa,KE,24.08,clear sky,-0.45,39.64,Almond Resort
269,Shwebo,MM,25.34,moderate rain,22.57,95.7,MOON SHINE Guest House
272,Shelburne,CA,25.0,few clouds,44.08,-80.2,The Retreat at the Farm
273,Beaufort,MY,25.0,few clouds,5.35,115.75,The Gem Hotel Beaufort
274,Cabo San Lucas,MX,32.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
275,Tateyama,JP,23.89,broken clouds,34.98,139.87,Tateyama Seaside Hotel
277,Dingle,PH,26.38,overcast clouds,11.0,122.67,Camp Pasica
279,Mareeba,AU,20.56,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
280,Salinas,US,22.78,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
281,Tulum,MX,32.22,scattered clouds,20.22,-87.47,Kin Ha
282,Takoradi,GH,23.41,scattered clouds,4.88,-1.76,Raybow International Hotel
283,Alexandria,EG,26.45,clear sky,31.22,29.96,Royal Crown Hotel
285,Vila Velha,BR,23.0,heavy intensity rain,-20.33,-40.29,Hotel Vitória Palace
290,Tabas,IR,32.0,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
292,Qui Nhon,VN,26.43,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Sao Filipe,CV,24.53,few clouds,14.9,-24.5,Tortuga B&B
295,Catuday,PH,26.04,overcast clouds,16.29,119.81,GResort
298,Chake Chake,TZ,24.09,few clouds,-5.25,39.77,Hotel Archipelago
299,Guanica,PR,26.67,moderate rain,17.97,-66.91,Copamarina Beach Resort & Spa
301,Georgetown,MY,26.0,few clouds,5.41,100.34,Cititel Penang
303,Doha,QA,35.56,clear sky,25.29,51.53,Movenpick Hotel Doha
305,Half Moon Bay,US,24.44,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
306,Bandundu,CD,28.54,broken clouds,-3.32,17.37,Coja Color
308,San Patricio,MX,30.87,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
309,Chifeng,CN,24.95,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
311,Danane,CI,21.13,light rain,7.26,-8.15,Hotel du marché
313,Sal Rei,CV,26.0,broken clouds,16.18,-22.92,Marine Club Beach Resort
314,Jieshi,CN,28.58,light rain,22.81,115.83,Yuehai Hotel
316,Poyarkovo,RU,23.15,overcast clouds,49.6,128.68,Gostinitsa
319,Liverpool,GB,20.0,broken clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
320,Fethiye,TR,26.0,clear sky,36.62,29.12,Club & Hotel Letoonia
321,Deer Lake,CA,20.0,broken clouds,49.17,-57.43,Holiday Inn Express Deer Lake
324,Manaure,CO,28.17,few clouds,11.78,-72.44,Del mar vendra
327,Dezhou,CN,26.45,light rain,37.45,116.29,Zhongtai International Hotel
328,Hami,CN,21.53,clear sky,42.8,93.45,Laoyutang Resort
329,Vaitape,PF,26.77,light rain,-16.52,-151.75,Conrad Bora Bora Nui
330,Biltine,TD,27.82,light rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
333,Astoria,US,27.78,clear sky,46.19,-123.83,Best Western Astoria Bayfront Hotel
334,Aklavik,CA,25.0,haze,68.22,-135.01,Aklavik Inn
339,Smyshlyayevka,RU,22.0,scattered clouds,53.24,50.39,Aparthotel Niagara on Chapayeva street
340,Kharabali,RU,21.11,broken clouds,47.42,47.26,Baza Otdiha Fishing Life
341,Iberia,US,33.33,scattered clouds,29.95,-91.75,back to back rv park
342,Bubaque,GW,26.82,light rain,11.28,-15.83,Casa Dora
344,Kisangani,CD,23.18,clear sky,0.52,25.2,Grand Ramela Hotel
349,Laguna,US,36.11,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
350,Mahajanga,MG,23.13,clear sky,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
352,Biak,ID,23.93,heavy intensity rain,-0.91,122.88,Kost Ariz
353,Beckley,US,22.22,moderate rain,37.78,-81.19,"Country Inn & Suites by Radisson, Beckley, WV"
354,Beyneu,KZ,20.93,clear sky,45.32,55.2,NUR
357,Saint-Georges,GD,30.0,few clouds,12.06,-61.75,Siesta Hotel
359,Lake Charles,US,33.0,scattered clouds,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
